Complaint_ID,Complaint_Date,Channel,Region,Product,Category,Issue,Priority,Resolution_Time_Hours,CSAT_Score,Sentiment,Status
CMP-0001,2026-07-24,Phone,India,Web Store,Returns & Refunds,Return request not processed,Low,49,4,Positive,Resolved
CMP-0002,2026-07-20,Email,India,Marketplace,Returns & Refunds,Return request not processed,Medium,51,5,Positive,Resolved
CMP-0003,2026-07-25,Chat,India,Mobile App,Returns & Refunds,Refund status unclear,Medium,38,4,Positive,Resolved
CMP-0004,2026-07-28,Email,India,Premium Plan,Delivery,Wrong delivery status,High,43,4,Positive,Resolved
CMP-0005,2026-07-03,Chat,Singapore,Standard Plan,Billing & Payments,Payment failed but money was deducted,Low,11,5,Positive,Resolved
CMP-0006,2026-07-03,Email,India,Premium Plan,Returns & Refunds,Return request not processed,Medium,35,4,Positive,Resolved
CMP-0007,2026-07-23,Email,India,Premium Plan,Returns & Refunds,Return pickup delayed,Medium,45,3,Neutral,Resolved
CMP-0008,2026-07-08,Email,India,Marketplace,Returns & Refunds,Refund status unclear,Low,16,4,Positive,Resolved
CMP-0009,2026-07-07,Web Form,India,Mobile App,Delivery,Order delivered late,Low,18,5,Positive,Resolved
CMP-0010,2026-07-18,Email,India,Marketplace,Technical Issue,Error while placing order,Low,12,4,Positive,Resolved
CMP-0011,2026-07-28,Chat,India,Mobile App,Delivery,Package not delivered,High,42,4,Positive,Resolved
CMP-0012,2026-07-15,Chat,India,Marketplace,Product Quality,Wrong product received,Low,36,4,Positive,Resolved
CMP-0013,2026-07-25,Phone,Japan,Premium Plan,Billing & Payments,Charged twice for the same order,High,11,5,Positive,Resolved
CMP-0014,2026-07-30,Social Media,USA,Marketplace,Technical Issue,Checkout button not working,Low,10,5,Positive,Resolved
CMP-0015,2026-07-30,Phone,Japan,Marketplace,Delivery,Wrong delivery status,Medium,22,4,Positive,Resolved
CMP-0016,2026-07-31,Email,India,Marketplace,Subscription,Plan upgrade issue,Low,12,5,Positive,Resolved
CMP-0017,2026-07-06,Email,Japan,Marketplace,Service Experience,Agent was not helpful,Low,21,4,Positive,Resolved
CMP-0018,2026-07-15,Phone,India,Premium Plan,Delivery,Package not delivered,High,36,4,Positive,Resolved
CMP-0019,2026-07-08,Email,Japan,Marketplace,Delivery,Wrong delivery status,Low,30,3,Neutral,Resolved
CMP-0020,2026-07-09,Web Form,India,Web Store,Billing & Payments,Charged twice for the same order,High,7,5,Positive,Resolved
CMP-0021,2026-07-07,Email,Japan,Standard Plan,Subscription,Subscription benefit missing,Low,20,5,Positive,Resolved
CMP-0022,2026-07-02,Phone,Singapore,Mobile App,Technical Issue,Mobile app crashes,High,17,4,Positive,Resolved
CMP-0023,2026-07-09,Chat,India,Web Store,Delivery,Package not delivered,Low,13,4,Positive,Resolved
CMP-0024,2026-07-03,Email,Singapore,Mobile App,Product Quality,Product arrived damaged,Medium,30,5,Positive,Resolved
CMP-0025,2026-07-09,Email,India,Standard Plan,Product Quality,Product arrived damaged,Medium,40,3,Neutral,Pending
CMP-0026,2026-07-02,Email,India,Marketplace,Billing & Payments,Unexpected charge on account,High,15,4,Positive,Resolved
CMP-0027,2026-07-03,Email,Japan,Web Store,Technical Issue,Website page not loading,Medium,13,5,Positive,Resolved
CMP-0028,2026-07-14,Chat,India,Mobile App,Subscription,Subscription renewed unexpectedly,High,21,5,Positive,Resolved
CMP-0029,2026-07-09,Email,USA,Web Store,Delivery,Wrong delivery status,Low,19,4,Positive,Resolved
CMP-0030,2026-07-04,Email,UK,Marketplace,Delivery,Order delivered late,Medium,31,5,Positive,Resolved
CMP-0031,2026-07-15,Web Form,India,Web Store,Subscription,Unable to cancel subscription,Medium,13,5,Positive,Escalated
CMP-0032,2026-07-09,Web Form,India,Web Store,Returns & Refunds,Return pickup delayed,Medium,25,4,Positive,Resolved
CMP-0033,2026-07-17,Phone,India,Premium Plan,Delivery,Package not delivered,Low,35,5,Positive,Resolved
CMP-0034,2026-07-25,Web Form,India,Premium Plan,Billing & Payments,Payment failed but money was deducted,Medium,13,5,Positive,Resolved
CMP-0035,2026-07-18,Email,Singapore,Web Store,Login & Account,Unable to reset password,Medium,11,4,Positive,Resolved
CMP-0036,2026-07-29,Chat,USA,Mobile App,Technical Issue,Mobile app crashes,Low,20,5,Positive,Resolved
CMP-0037,2026-07-28,Social Media,USA,Web Store,Returns & Refunds,Exchange request pending,Low,41,5,Positive,Resolved
CMP-0038,2026-07-09,Web Form,India,Web Store,Billing & Payments,Unexpected charge on account,Medium,1,5,Positive,Resolved
CMP-0039,2026-07-27,Web Form,Japan,Premium Plan,Technical Issue,Website page not loading,High,18,4,Positive,Resolved
CMP-0040,2026-07-13,Social Media,India,Marketplace,Delivery,Order delivered late,Medium,28,3,Neutral,Escalated
CMP-0041,2026-07-02,Email,Singapore,Premium Plan,Product Quality,Missing component in package,Medium,33,5,Positive,Resolved
CMP-0042,2026-07-02,Chat,UK,Premium Plan,Delivery,Order delivered late,High,42,4,Positive,Resolved
CMP-0043,2026-07-20,Chat,India,Premium Plan,Subscription,Subscription renewed unexpectedly,Low,11,5,Positive,Resolved
CMP-0044,2026-07-18,Phone,India,Premium Plan,Delivery,Wrong delivery status,High,36,4,Positive,Resolved
CMP-0045,2026-07-27,Phone,India,Marketplace,Subscription,Subscription renewed unexpectedly,Medium,13,5,Positive,Resolved
CMP-0046,2026-07-17,Chat,Japan,Web Store,Returns & Refunds,Return pickup delayed,Low,43,5,Positive,Resolved
CMP-0047,2026-07-11,Chat,UK,Marketplace,Billing & Payments,Charged twice for the same order,Medium,10,5,Positive,Resolved
CMP-0048,2026-07-20,Email,India,Standard Plan,Product Quality,Product quality below expectation,Medium,31,4,Positive,Resolved
CMP-0049,2026-07-29,Chat,India,Mobile App,Delivery,Delivery address issue,Medium,30,5,Positive,Resolved
CMP-0050,2026-07-15,Email,India,Mobile App,Service Experience,Customer wants escalation,Medium,22,4,Positive,Resolved
CMP-0051,2026-07-27,Social Media,USA,Marketplace,Returns & Refunds,Return pickup delayed,Medium,21,4,Positive,Resolved
CMP-0052,2026-07-25,Phone,Japan,Premium Plan,Returns & Refunds,Refund status unclear,Low,36,4,Positive,Resolved
